Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29 00:00:00-05:00,43.96875,43.96875,43.75,43.9375,25.33401870727539,1003200
1993-02-01 00:00:00-05:00,43.96875,44.25,43.96875,44.25,25.514205932617188,480500
1993-02-02 00:00:00-05:00,44.21875,44.375,44.125,44.34375,25.56827735900879,201300
1993-02-03 00:00:00-05:00,44.40625,44.84375,44.375,44.8125,25.838542938232422,529400
1993-02-04 00:00:00-05:00,44.96875,45.09375,44.46875,45.0,25.9466552734375,531500
1993-02-05 00:00:00-05:00,44.96875,45.0625,44.71875,44.96875,25.92864418029785,492100
1993-02-08 00:00:00-05:00,44.96875,45.125,44.90625,44.96875,25.92864418029785,596100
1993-02-09 00:00:00-05:00,44.8125,44.8125,44.5625,44.65625,25.748445510864258,122100
1993-02-10 00:00:00-05:00,44.65625,44.75,44.53125,44.71875,25.78449821472168,379600
1993-02-11 00:00:00-05:00,44.78125,45.125,44.78125,44.9375,25.910615921020508,19500
1993-02-12 00:00:00-05:00,44.875,44.875,44.59375,44.59375,25.712430953979492,42500
1993-02-16 00:00:00-05:00,44.46875,44.46875,43.40625,43.46875,25.063766479492188,374800
1993-02-17 00:00:00-05:00,43.46875,43.53125,43.28125,43.4375,25.04572105407715,210900
1993-02-18 00:00:00-05:00,43.9375,43.9375,42.8125,43.40625,25.027727127075195,378100
1993-02-19 00:00:00-05:00,43.40625,43.5625,43.34375,43.5625,25.117799758911133,34900
1993-02-22 00:00:00-05:00,43.6875,43.78125,43.5625,43.71875,25.207908630371094,513600
1993-02-23 00:00:00-05:00,43.84375,43.875,43.46875,43.6875,25.189878463745117,373700
1993-02-24 00:00:00-05:00,43.71875,44.25,43.71875,44.25,25.514205932617188,26300
1993-02-25 00:00:00-05:00,44.21875,44.375,44.125,44.34375,25.56827735900879,44500
1993-02-26 00:00:00-05:00,44.4375,44.4375,44.1875,44.40625,25.60430145263672,66200
1993-03-01 00:00:00-05:00,44.5625,44.5625,44.21875,44.28125,25.5322265625,66500
1993-03-02 00:00:00-05:00,44.3125,44.9375,44.25,44.9375,25.910615921020508,182400
1993-03-03 00:00:00-05:00,45.0,45.15625,44.9375,45.125,26.01873207092285,280100
1993-03-04 00:00:00-05:00,45.1875,45.1875,44.875,44.875,25.87457847595215,89500
1993-03-05 00:00:00-05:00,44.9375,45.125,44.71875,44.75,25.802509307861328,40000
1993-03-08 00:00:00-05:00,44.84375,45.75,44.84375,45.75,26.37911033630371,50800
1993-03-09 00:00:00-05:00,45.65625,45.6875,45.5,45.59375,26.288999557495117,169300
1993-03-10 00:00:00-05:00,45.59375,45.6875,45.40625,45.6875,26.343069076538086,194400
1993-03-11 00:00:00-05:00,45.71875,45.84375,45.5,45.5625,26.270994186401367,70900
1993-03-12 00:00:00-05:00,45.1875,45.21875,44.8125,45.09375,26.000701904296875,643600
